gene id,cancer_164,cancer_170,cancer_260,normal_1,normal_2,normal_3
ENSG00000128346.12,94.99999,44.74531,27.000049999999998,11.26456,15.39058,4.431649999999999
ENSG00000128383.14,0.0,0.0,0.0,14.24755,23.101149,6.59752
ENSG00000128394.18,15.0,11.0,0.0,102.21554,155.24893,67.28008
ENSG00000128408.9,3.0,0.0,1.0,14.0,6.0,9.0
ENSG00000128422.19,17639.56579,1924.0375,5414.46703,8540.64266,41446.3734,3954.50101
ENSG00000128438.11,0.0,0.0,0.0,0.0,1.65508,0.0
ENSG00000128463.14,20.0,13.0,2.0,415.99982,423.99971,344.23235
ENSG00000128482.17,27.0,12.0,8.0,5.999995,8.0,2.0
ENSG00000128487.20,61.999982,8.000000622547,113.9999489993332,596.077245934,646.55935658856,417.07525599999997
ENSG00000128510.12,160.77073246,14.0,21.75362546677,650.19412,414.18108,318.12283
ENSG00000128512.24,93.00004299999999,29.0,53.000007,1413.69672,2205.68962,930.91893
ENSG00000128513.17,3.0,0.0,0.0,331.99986,324.000282808,266.99999
ENSG00000128519.3,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128524.5,84.0,6.0,55.0,157.99958,164.99974,136.0003
ENSG00000128534.9,12.0,0.0,0.0,232.9947,288.99999,231.58689
ENSG00000128536.17,6.0,1.0,1.0,19.0,22.077679,12.0
ENSG00000128563.14,12.00003,26.00004,16.0,307.71535,233.59193000000002,235.9068
ENSG00000128564.9,2.0,16.0,0.0,0.0,1.0,0.0
ENSG00000128567.18,32.0163531061,22.000004,36.99996,607.0004499999999,1630.00355,507.00007999999997
ENSG00000128573.29,0.0,1.0,10.0,1426.137856290977,2027.126353265011,1099.14564390261
ENSG00000128578.11,11.0,13.0,7.0,35.13172,211.00005,23.000027799999998
ENSG00000128581.17,7.0,3.0,5.0,120.00000000000001,135.03048,126.053889
ENSG00000128585.19,25.0,22.000036019,2.0,2197.63425,2067.2736,1887.65331
ENSG00000128590.6,0.0,0.0,5.000004000000001,378.9999,305.0,276.00012000000004
ENSG00000128591.18,1536.9976706573,2792.99692,212.00013654794898,749.000188617689,23352.852799999997,224.9996956873108
ENSG00000128594.9,13.0000040418,10.0,17.00002,133.0,109.0,69.00003
ENSG00000128595.18,17.0,0.0,9.0,1488.7220499999999,1584.8630899999998,1001.9424899999999
ENSG00000128596.18,32.0,22.99998,2.0,100.99996999999999,119.99985,30.0000209658
