"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04144","Endocytosis",249,-0.300283214422232,-1.5817525648502,0.000426146448418499,0.00324936666919106,0.0021307322420925,6721,"tags=39%, list=26%, signal=29%","387/2350/5156/64744/89853/23327/868/9559/10096/92421/4734/10890/9815/642517/55680/26052/253725/4193/23362/9525/51699/23527/128866/56288/10564/7879/3561/8723/163/64750/84612/8395/6643/867/830/9135/2060/116984/9372/5869/10565/8766/27131/998/51028/1213/11311/7251/4087/9101/10015/4218/51510/10552/2348/5867/7046/5337/9829/26286/57403/3559/7037/9765/10097/378/55737/8027/51019/137492/6457/22841/25978/3799/7189/7852/58533/5868/23325/11059/2263/10094/83737/51100/3579/51324/5584/9897/23111/8411/3577/1234/829/729092/10254/51534"
"hsa04710","Circadian rhythm",34,-0.442073790438868,-1.58609484881633,0.0110909955066953,0.041421473014801,0.0271616216490498,8270,"tags=56%, list=32%, signal=38%","8945/8863/23291/1453/6095/6096/5563/1385/51422/8454/5562/5571/9975/26224/9575/9978/1407/102800317/6500"
"hsa04660","T cell receptor signaling pathway",121,-0.338109221485302,-1.60478912676217,0.00223752731979434,0.0118686231745613,0.0077827037210238,7544,"tags=45%, list=29%, signal=32%","5533/1019/208/5530/10125/919/4893/5788/55844/387/5291/868/5525/5604/1432/5777/6655/5062/8915/5601/5527/916/3458/5516/5534/7006/925/998/5519/10892/10000/55012/917/5781/1739/5529/10451/110117499/5594/6654/4775/5894/8503/5515/29851/5599/3702/2932/4690/5295/3586/5521/1147/5520/915"
"hsa05132","Salmonella infection",248,-0.306778357390868,-1.61450557484918,0.000280041099671105,0.00227816805039016,0.00149388068878043,6419,"tags=36%, list=25%, signal=27%","5291/4633/83657/23339/81027/10096/3836/60412/51429/51176/4646/5604/26999/1432/5294/10333/79026/55207/140735/9475/71/836/9367/399/5601/7879/841/79861/55845/55860/9844/51164/63916/7184/3840/257397/302/5898/5869/79659/10006/8743/998/55770/6416/347733/10000/838/9648/4671/10552/7099/7100/5594/6993/10097/5894/5599/330/10640/10382/329/5286/1499/54205/3799/7189/8655/58484/5289/5868/3839/10671/3606/10094/10787/1147/5288/1434/10627/51135/834/6500/103910/6990/837/7295/23118/23643"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",95,-0.354502650165318,-1.61527790874229,0.00409455600409965,0.0185372468499568,0.0121555717048897,3100,"tags=23%, list=12%, signal=20%","4283/3559/1235/6347/7852/729230/5473/51554/3586/1237/3572/3606/3579/6355/3627/10563/3577/1234/6357/6373/6358/56477"
"hsa00310","Lysine degradation",63,-0.386162191601886,-1.61761976672609,0.00640158174142076,0.0260330990817777,0.0170708846437887,5428,"tags=40%, list=21%, signal=31%","64754/4297/29072/55870/2122/64324/55904/8424/39/79723/56950/83852/3033/223/10157/3030/79823/501/123688/224/51166/38/1738/55217/6419"
"hsa05212","Pancreatic cancer",77,-0.371003141343444,-1.62244462113595,0.00573937103796265,0.0238705659078901,0.0156528301035345,4796,"tags=31%, list=19%, signal=25%","5888/5601/675/1643/5898/998/4087/10000/6772/7046/673/5337/110117499/5594/5894/8503/5599/5295/1950/9459/1147/4089/51426/5925"
"hsa00630","Glyoxylate and dicarboxylate metabolism",31,-0.463511226767516,-1.62769681238868,0.00975116519805852,0.0375676469735728,0.0246345226056215,6447,"tags=48%, list=25%, signal=36%","48/6470/5096/1431/51179/2653/39/2752/4190/847/4594/84693/5095/38/1738"
"hsa05022","Pathways of neurodegeneration - multiple diseases",473,-0.286836817264542,-1.62913818237663,6.45061500101887e-06,8.74416700138113e-05,5.73388000090566e-05,5857,"tags=31%, list=23%, signal=24%","5713/5710/1965/4720/2902/51465/440738/3552/5604/1432/7417/776/27089/11315/9627/4706/51079/5714/836/7416/50507/7415/55102/5601/4702/90550/841/539/22943/627/506/55255/79861/55860/51164/6392/817/4705/4695/23435/30849/120892/5534/515/5663/7979/9896/347733/5682/4729/522/5861/4722/7381/7385/6391/5743/4218/9821/3709/80208/673/1536/4040/203228/10213/4541/324/805/5594/55669/847/2891/5683/55967/4709/5894/317/4719/55062/5599/509/5332/22926/6233/4700/9217/10382/2932/1499/54205/25978/3799/5706/2877/83544/7314/7419/5289/6390/5868/4725/283106/1457/4697/1345/5684/10671/356/6647/9451/27123/4539/1452/4694/5687/7311/7316/643246/355/4698/514/4287/4535/1131/102800317/1128/4509/1349/4538/10010/4508/5685/4513/4540/4537/4536/4519/7326/4512/4724/4514/1350/4707/6622"
"hsa04062","Chemokine signaling pathway",188,-0.31896195124331,-1.63117118456831,0.000280102629146331,0.00227816805039016,0.00149388068878043,6843,"tags=38%, list=26%, signal=28%","4067/2770/6777/387/653361/5291/6387/6375/5579/6368/6374/1794/6366/5604/5294/6774/2793/6655/2773/6361/9475/53358/2921/56288/6356/9844/6093/6367/2791/998/10000/2788/4283/6772/673/5567/1235/5906/10451/110117499/5594/3717/6654/2786/5894/6347/8503/5332/3702/2932/54331/55970/7852/2790/729230/5295/5473/1237/59345/3579/1147/6355/10663/3627/10563/3577/1234/6357/6373/6358/5908/56477"
"hsa03060","Protein export",31,-0.466868559425048,-1.6394866447578,0.00900681649705438,0.0350690940204458,0.0229961272265218,7182,"tags=68%, list=28%, signal=49%","6734/10952/83943/6730/5018/29927/196294/9789/6728/23478/28972/23480/55176/6731/11231/7485/7095/6727/90701/6726/6729"
"hsa04114","Oocyte meiosis",134,-0.339791226792453,-1.64292637885972,0.000787892724318034,0.00528547800857091,0.00346588721873502,6215,"tags=38%, list=24%, signal=29%","729597/245711/996/5525/100996746/643909/5604/1432/29945/8454/7531/5527/5500/27330/22849/25906/817/5516/5534/10744/89869/5519/7529/8697/983/3479/64682/3709/9748/7534/5567/5529/805/5594/6790/5515/442572/9978/5501/100505767/898/26271/9134/8881/9126/151648/100101268/6197/6500/441273/10393"
"hsa05210","Colorectal cancer",87,-0.368341703969951,-1.64350469301343,0.0030282745022103,0.0149776819974185,0.00982143081797937,4267,"tags=31%, list=16%, signal=26%","2956/1643/5898/4087/10000/4436/7046/673/26060/324/110117499/5594/6654/5894/8503/5599/2932/1499/54205/4437/374/5295/10018/1950/2069/4089/51426"
"hsa05131","Shigellosis",247,-0.317101248949897,-1.66748156170417,5.76381191746169e-05,0.000620457400526758,0.000406857311820825,8464,"tags=47%, list=33%, signal=32%","8357/3708/64121/3098/6885/8945/5588/10325/5290/29110/81/23157/375189/7188/23291/57180/60/5747/6198/8290/208/8968/7414/23236/5481/382/8936/114548/81631/7335/7321/387/8354/5291/3688/4633/1793/10096/718/8355/440738/4193/1432/9474/5333/8454/826/664/9475/71/51619/7416/9252/8915/5601/7322/3611/9844/6093/63916/257397/11146/30849/8350/998/89869/3554/10892/960/10000/831/4671/3709/10552/7099/7100/440686/110117499/5594/10097/10241/989/8503/55062/5599/5332/9978/6233/2932/54205/7189/7334/7314/58484/8351/5295/5289/92610/3606/54874/51196/7323/10094/7311/7316/643246/1147/10627/834/6500/103910/837/472/23118/8353/126961/3020"
"hsa00512","Mucin type O-glycan biosynthesis",35,-0.461841387855419,-1.67239214443232,0.0103673797289551,0.0391181544412119,0.0256512488139094,4500,"tags=37%, list=17%, signal=31%","55808/11227/51809/79695/57452/9245/2589/2650/256435/51301/29071/2591/56913"
"hsa00440","Phosphonate and phosphinate metabolism",6,-0.77013146137398,-1.68139922467936,0.0133955863829441,0.0466931868205481,0.0306184831610151,2881,"tags=50%, list=11%, signal=44%","56994/85465/10390"
"hsa05142","Chagas disease",103,-0.366505638296153,-1.68310754502954,0.000998600673085743,0.00630151459223072,0.00413214071621687,7522,"tags=45%, list=29%, signal=32%","7048/208/23236/414062/8837/2775/919/55844/2770/5291/718/1432/10333/2773/5601/916/841/3458/5516/6416/5519/4087/10000/2778/917/7046/7099/110117499/5594/6347/8503/5515/5599/5332/3593/3459/7189/5295/3586/356/5521/355/1147/5520/915/51135"
"hsa04137","Mitophagy - animal",102,-0.366887551807169,-1.68472264592275,0.000594775335390674,0.00426838770103895,0.00279894275477964,7702,"tags=52%, list=30%, signal=37%","11331/10075/4077/55288/9868/27342/4893/9927/81631/23710/54708/6477/10133/1459/84749/11337/665/9958/1965/440738/664/6667/7415/5601/7879/221960/64750/10651/5869/9804/54543/22800/9101/51622/3091/4286/55669/10241/4976/5599/8887/6233/345778/7314/5868/283106/1457/9451/7311/7316/643246/139341/64786"
"hsa03050","Proteasome",45,-0.433017501714108,-1.68528110246971,0.00426229209929734,0.0190243769310101,0.0124750012662361,10269,"tags=80%, list=40%, signal=48%","5691/5705/5689/5704/5696/5688/5702/5690/5700/5707/5692/9861/5701/5693/10197/5717/5719/5715/5686/5721/5718/5713/5710/5714/23198/5720/3458/7979/5682/10213/5683/5706/5684/51371/5687/5685"
"hsa03460","Fanconi anemia pathway",53,-0.424342861061816,-1.68884708401431,0.00395195909544911,0.0185372468499568,0.0121555717048897,4938,"tags=43%, list=19%, signal=35%","146956/545/5888/79728/83990/675/29089/5980/2072/57697/55215/353497/5395/57599/7398/5429/5889/2177/378708/641/80010/55120/51426"
"hsa05034","Alcoholism",180,-0.33340523116057,-1.69794585306812,0.000225599297077668,0.00203479970133825,0.00133429488612345,5970,"tags=37%, list=23%, signal=29%","8367/8355/1385/2902/8331/1813/5604/4852/2793/6655/84152/2773/3017/554313/8370/53358/440689/8348/8362/3066/5500/627/8334/8841/8360/8350/2791/8365/2778/8364/2788/85236/673/5567/8339/440686/1386/805/5594/8349/6654/2786/8343/8344/8345/5894/8368/8342/8346/5501/54331/55970/2790/4128/6571/8351/8347/8340/59345/8361/5569/4915/8353/126961/148327/3018/3020"
"hsa04530","Tight junction",166,-0.337283004378912,-1.70132706856717,0.000227942043046089,0.00203479970133825,0.00133429488612345,6968,"tags=43%, list=27%, signal=31%","92359/55844/53842/387/912/27134/23327/11149/3688/4633/10096/5563/4734/5872/51762/10207/9693/9223/84952/776/51422/9475/51735/71/5562/150084/56288/5601/10686/84612/8777/79861/6093/1740/5516/911/998/5519/5571/1741/4214/4218/10552/7082/5567/1739/9073/5906/5111/58494/10097/83700/153562/5962/100132463/64398/5515/5599/9069/3308/100506658/1080/10094/5521/9071/5520/5584/10627/103910/913/909"
"hsa00140","Steroid hormone biosynthesis",63,-0.407010841935424,-1.70495402580825,0.00275319464388641,0.0138036882145538,0.0090515988292156,3677,"tags=33%, list=14%, signal=29%","7923/3290/220074/1577/6783/1576/79644/1588/8644/3293/54575/54576/54600/54579/54659/54657/54658/54578/51478/51170/54577"
"hsa00740","Riboflavin metabolism",8,-0.716366709670073,-1.71606158294294,0.0117492324837108,0.0421590106768447,0.027645252902849,2461,"tags=38%, list=9%, signal=34%","5167/55312/5169"
"hsa04723","Retrograde endocannabinoid signaling",145,-0.351539700403701,-1.72345203606338,0.000521712048073666,0.00389686958357065,0.00255532431709551,5960,"tags=46%, list=23%, signal=36%","56901/23236/4704/3760/2775/4726/2556/4710/2770/4731/5579/2892/2555/2166/4720/1432/2793/776/2773/4706/51079/57406/5601/4702/1268/22999/55879/4705/4695/11343/2568/2791/4729/2557/4722/2788/5743/3709/5567/4541/5594/2786/2891/55967/4709/4719/5599/5332/4700/54331/2566/2561/55970/2790/4725/4697/59345/4539/4694/4698/4535/4538/4540/4537/4536/4724/4707"
"hsa01232","Nucleotide metabolism",84,-0.388172600327757,-1.72435207166639,0.00163779896698298,0.00936616284243392,0.00614174612618618,7732,"tags=45%, list=30%, signal=32%","957/956/4907/978/1854/377841/159/56474/115024/4830/8833/151531/3251/1633/50808/270/9583/158067/204/144811/1716/51727/29922/158/3615/6240/132/5167/221264/51020/22978/953/7084/102157402/51251/654364/50484/5169"
"hsa04520","Adherens junction",93,-0.381290562398745,-1.72476648819517,0.00162599070950281,0.00936616284243392,0.00614174612618618,7636,"tags=49%, list=29%, signal=35%","60/52/7048/7414/8936/9411/5795/7525/387/2033/6591/4633/5797/1459/51176/1500/1495/5777/4233/9475/71/56288/64750/117178/6093/4008/25945/57493/998/8826/29119/7082/7046/5906/5594/5787/1499/283106/1457/889/10627/103910/4089/11235/5908/2241"
"hsa03015","mRNA surveillance pathway",95,-0.378969499487568,-1.72676018169096,0.000958815785711809,0.00615660662404425,0.00403711909773393,4889,"tags=49%, list=19%, signal=40%","10482/55339/1478/51585/9939/11052/51692/1477/26019/56903/9887/26986/81608/2107/55844/9775/2733/2935/5525/80335/23049/5527/5500/56000/23435/5516/53981/4116/140886/5519/10767/55012/11269/124540/340529/5529/5515/5501/11051/64895/10914/8731/4686/5521/55916/5520/100529063"
"hsa03022","Basal transcription factors",44,-0.453620838086107,-1.7470485934575,0.00170883015749499,0.00962202827143335,0.00630952673536613,5579,"tags=39%, list=22%, signal=30%","2961/1022/2966/2963/728340/2965/2969/2959/6908/404672/2967/2958/902/6873/9519/730394/51616"
"hsa05322","Systemic lupus erythematosus",132,-0.364474068333877,-1.75055268432533,0.000358718305166747,0.00279342339768148,0.00183175304765999,6848,"tags=42%, list=26%, signal=31%","729/8341/8338/8354/8336/8366/6634/718/8367/8355/8331/716/3017/1511/554313/8370/440689/8348/2214/8362/8334/3458/3126/8360/8350/8365/727/8364/85236/2212/8339/440686/8349/8343/8344/8345/8368/2215/6741/8342/8346/8351/8347/8340/3586/8361/6738/942/8353/126961/102723407/100293534/3127/3018/3020"
"hsa04960","Aldosterone-regulated sodium reabsorption",37,-0.474086163131175,-1.7507480812447,0.00502359622012956,0.0215364989767873,0.014122294411008,6516,"tags=51%, list=25%, signal=38%","23327/5291/5579/476/6446/3291/6337/3758/481/482/486/3479/110117499/5594/4306/8503/5295/6340/6338"
"hsa00053","Ascorbate and aldarate metabolism",29,-0.5076757535701,-1.75271790205416,0.00506048883061121,0.0215364989767873,0.014122294411008,3331,"tags=45%, list=13%, signal=39%","7358/223/54575/54576/501/224/54600/54579/54659/54657/54658/54578/54577"
"hsa00230","Purine metabolism",125,-0.368000277794128,-1.75409751928048,0.000237910999956562,0.00207322442819289,0.00135949142832321,7598,"tags=47%, list=29%, signal=34%","956/5150/5471/4907/5138/10846/377841/159/5144/2982/5151/5142/4830/55276/8833/3251/1633/318/50808/53343/374659/270/11164/9583/9061/158067/9060/204/5137/5631/144811/1716/29922/158/3615/5147/10606/6240/5158/5145/132/5167/221264/51020/8654/22978/5146/953/22875/8622/102157402/50940/56985/5136/654364/27115/2984/50484/5169"
"hsa04932","Non-alcoholic fatty liver disease",153,-0.354455388383319,-1.75751323975042,7.72363914186286e-05,0.000807671978834802,0.000529620969727739,6425,"tags=40%, list=25%, signal=30%","1340/5291/1347/5563/6389/1965/4720/5465/3552/1432/51422/27089/4706/5562/51079/836/5601/4702/841/6392/4705/4695/6945/998/4729/5571/10000/4722/7381/7385/6391/110117499/55967/4709/8503/4719/5599/4700/2932/54205/5295/6390/4725/4697/1345/356/9451/10018/4694/83737/355/4698/3953/1349/4513/4519/4512/4724/4514/1350/4707"
"hsa00100","Steroid biosynthesis",20,-0.557328051080281,-1.7682215706855,0.00767155484003592,0.0305194464288385,0.0200127517566154,2768,"tags=35%, list=11%, signal=31%","50814/3988/6646/6307/120227/6309/51478"
"hsa00380","Tryptophan metabolism",42,-0.4676514984495,-1.77395996832713,0.00197688420625694,0.0109418351601852,0.00717497387553126,4232,"tags=38%, list=16%, signal=32%","39/8564/316/3033/223/3030/7166/847/4128/501/224/51166/56267/38/1738/8942"
"hsa05020","Prion disease",271,-0.333614443470528,-1.77791737590316,4.12701728079459e-06,6.56734054248182e-05,4.30645281474218e-05,6891,"tags=40%, list=27%, signal=30%","3312/4710/729/1337/653361/4731/498/518/1340/5291/5718/1347/81027/1459/6389/5713/1385/5710/1965/4720/2902/3552/1432/7417/4685/776/27089/4706/51079/5714/836/7416/5601/4702/90550/539/506/79861/6392/4705/4695/5534/515/7979/347733/5682/4729/522/4722/727/7381/7385/6391/3709/1536/5567/10213/4541/1386/110117499/5594/5683/55967/4709/8503/317/4719/5599/509/4700/10382/2932/54205/3799/5706/7419/5295/6390/4725/283106/1457/4697/1345/5684/6647/9451/4539/4694/5687/4698/514/4535/4509/1349/4538/4508/5685/4513/4540/4537/4536/4519/4512/4724/148327/4514/1350/4707"
