"Gene_symbol","log2FoldChange"
"DYNLT4",7.38290846896226
"GATA4",7.38210519558254
"OR9Q2",7.3757647854721
"PGC",7.37226981912958
"CST1",7.35748389228493
"ASDURF",7.35304189250936
"CXorf51A",7.35304189250936
"HES3",7.35304189250936
"MAFG-AS1",7.35304189250936
"OR4A47",7.35304189250936
"SSTR4",7.35304189250936
"TMEM265",7.35304189250936
"HLA-DPB1",7.34869565999293
"KIR3DL3",7.34869565999293
"TTC34",7.34869565999293
"CHST1",7.33949966760946
"PSORS1C2",7.33922128692947
"DLGAP2",7.33709340594986
"LARP1BP1",7.33709340594986
"NSG2",7.33709340594986
"NT5DC1P2",7.33709340594986
"OR2AP1",7.33709340594986
"POU4F1",7.33709340594986
"TEX36",7.33709340594986
"TRIM53AP",7.33709340594986
"CFAP95",7.33279240196906
"UCN",7.33087028084676
"TENM4-AS1",7.33038340791005
"UCN2",7.31506192043589
"SVOP",7.30214576934991
"ASZ1",7.2824716248505
"RBFOX3",7.27667859668918
"CD109-AS1",7.2711764270123
"ADGRG4",7.26658941540975
"COA6-AS1",7.25565036091156
"SLC6A19",7.24949829927983
"GPR50",7.2474177926691
"ERICH6B",7.23702759697138
"RNASEK-C17orf49",7.2264768080248
"UTF1",7.20375680581554
"GRXCR1",7.19867927277728
"OPRL1",7.19867927277728
"LILRB1",7.18749750319503
"CSF3",7.16039603995774
"C15orf32",7.15811142389189
"PRDM6-AS1",7.12929823464931
"FAM131B-AS2",7.11982133396275
"IZUMO3",7.11123688920062
"PDILT",7.11123688920062
"POTEE",7.10708178519743
"ZBTB11-AS1",7.09646225515406
"CYP26C1",7.09407468329462
"DNAJB6P1",7.08808062798638
"H1-7",7.08808062798638
"OR10P1",7.08808062798638
"RPL24P2",7.08808062798638
"RTP1",7.08808062798638
"BMP10",7.0722656914134
"BMP15",7.0722656914134
"CDX4",7.0722656914134
"DMRTC1",7.0722656914134
"FEM1AP3",7.0722656914134
"KRTAP2-4",7.0722656914134
"LOC105375924",7.0722656914134
"PRR23B",7.0722656914134
"RPL31P63",7.0722656914134
"SAPCD2P2",7.0722656914134
"SOCS3-DT",7.0722656914134
"SOX14",7.0722656914134
"TRIM43CP",7.0722656914134
"LINC01214",7.06922694388324
"CNGA4",7.06621333501253
"HES7",7.03458003262064
"FUT9",7.03120957428602
"HAPSTR2",7.03120957428602
"SPANXN3",7.03120957428602
"SPMIP11",7.03120957428602
"USP41P",7.02305843518733
"TSGA10IP",6.98521169990821
"ZNF316",6.97469539913037
"TMEM215",6.97401644670372
"LRRC3",6.97194644607693
"LOC101927401",6.97166757565556
"LOC105379278",6.95822820549838
"TOPAZ1",6.95822820549838
"TPTE",6.95822820549838
"CFAP99",6.95822639315283
"MMP1",6.93855548832748
"CDH4",6.9362601084239
"ZFTA",6.91437780702217
"LOC101929174",6.89703406888763
"ADAMTS14",6.8854798829219
"LOC124902045",6.87918712179231
"SRMS",6.87488870511203
"ZP4",6.86315168820763
"AZU1",6.86164655259029
"BEST4",6.84186154814289
"ANHX",6.84166952924265
"CTAG2",6.84166952924265
"LINC02897",6.84166952924265
"OR4A16",6.84166952924265
"OTOR",6.84166952924265
"REXO1L12P",6.84166952924265
"SLC25A31",6.84166952924265
"LOC124905422",6.82568355053876
"LOC124905424",6.82568355053876
"LOC124905425",6.82568355053876
"LOC124905426",6.82568355053876
"LOC124905427",6.82568355053876
"LOC124905428",6.82568355053876
"LOC124905429",6.82568355053876
"LOC124905430",6.82568355053876
"LOC124905431",6.82568355053876
"LOC124905432",6.82568355053876
"LOC124905433",6.82568355053876
"LOC124905434",6.82568355053876
"LOC124905435",6.82568355053876
"LOC124905436",6.82568355053876
"LOC124905437",6.82568355053876
"LOC124905438",6.82568355053876
"LOC124905754",6.82568355053876
"LOC124905755",6.82568355053876
"LOC124905756",6.82568355053876
"LOC124905757",6.82568355053876
"LOC124905758",6.82568355053876
"LOC124905759",6.82568355053876
"LOC124905760",6.82568355053876
"LOC124905761",6.82568355053876
"LOC124905762",6.82568355053876
"LOC124905763",6.82568355053876
"LOC124905764",6.82568355053876
"LOC124905765",6.82568355053876
"LOC124905768",6.82568355053876
"LOC124905769",6.82568355053876
"LOC124905770",6.82568355053876
"LOC124905771",6.82568355053876
"LOC124905772",6.82568355053876
"LOC124905773",6.82568355053876
"LOC124905774",6.82568355053876
"LOC124905775",6.82568355053876
"LOC124905776",6.82568355053876
"LOC124905777",6.82568355053876
"LOC124905778",6.82568355053876
"LOC124905779",6.82568355053876
"LOC124905780",6.82568355053876
"LOC124905781",6.82568355053876
"LOC124905782",6.82568355053876
"LOC124905783",6.82568355053876
"LOC124905784",6.82568355053876
"LOC124905785",6.82568355053876
"LOC124905786",6.82568355053876
"LOC124905787",6.82568355053876
"LOC124905788",6.82568355053876
"LOC124905791",6.82568355053876
"LOC124905792",6.82568355053876
"LOC124905793",6.82568355053876
"LOC124905794",6.82568355053876
"LOC124905795",6.82568355053876
"LOC124905796",6.82568355053876
"LOC124905797",6.82568355053876
"LOC124905798",6.82568355053876
"LOC124905800",6.82568355053876
"LOC124905801",6.82568355053876
"LOC124905802",6.82568355053876
"LOC124905803",6.82568355053876
"LOC124905804",6.82568355053876
"LOC124905805",6.82568355053876
"LOC124905807",6.82568355053876
"LOC124905819",6.82568355053876
"LOC124905822",6.82568355053876
"LOC124905823",6.82568355053876
"LOC124905824",6.82568355053876
"LOC124905825",6.82568355053876
"LOC124905826",6.82568355053876
"LOC124905827",6.82568355053876
"LOC124905828",6.82568355053876
"LOC124905829",6.82568355053876
"LOC124905830",6.82568355053876
"LOC124905831",6.82568355053876
"LOC124905832",6.82568355053876
"LOC124905833",6.82568355053876
"LOC124905834",6.82568355053876
"LOC124905835",6.82568355053876
"LOC124905836",6.82568355053876
"LOC124905837",6.82568355053876
"LOC124905838",6.82568355053876
"LOC124905839",6.82568355053876
"LOC124905840",6.82568355053876
"LOC124905841",6.82568355053876
"LOC124905842",6.82568355053876
"LOC124905843",6.82568355053876
"LOC124905844",6.82568355053876
"LOC124905845",6.82568355053876
"LOC124905846",6.82568355053876
"RNA5S17",6.82568355053876
"PRRT2",6.81040843932163
"YJEFN3",6.80972374743231
"TCF19",6.80329810774856
"OR2B2",6.8028549719003
"CYP4F2",6.7974324593664
"LRRC56",6.79599630316378
"HAPLN4",6.7872134944835
"POTED",6.78715473428347
"RIPPLY2",6.78715473428347
"POLR1H",6.78176874495348
"OR6C4",6.78118616871603
"CCDC92B",6.77737381599739
"CEND1",6.77379105349384
"CKLF-CMTM1",6.77365791487506
"EBLN1",6.76330301263452
"GJE1",6.76330301263452
"LINC02722",6.76330301263452
"MS4A5",6.76330301263452
"OR11H1",6.76330301263452
"OR2B6",6.76330301263452
"OR2S2",6.76330301263452
"PAXBP1",6.76330301263452
"SMKR1",6.76330301263452
"ZMAT4",6.75274379451278
"GAS2L2",6.75136550607238
"KCNH6",6.7480527361205
"MIR3605",6.7480527361205
"PKD1-AS1",6.7480527361205
"RNU2-58P",6.7480527361205
"ADAM2",6.74768492334828
"AGTR2",6.74768492334828
"ASS1P4",6.74768492334828
"C16orf90",6.74768492334828
"C2orf78",6.74768492334828
"CDRT15L2",6.74768492334828
"CRYGC",6.74768492334828
"CSH1",6.74768492334828
"CSHL1",6.74768492334828
"DYRK3-AS1",6.74768492334828
"ERICH1",6.74768492334828
"ETV3L",6.74768492334828
"GPX5",6.74768492334828
"HCRT",6.74768492334828
"KRTAP4-1",6.74768492334828
"LOC100421009",6.74768492334828
"LOC152845",6.74768492334828
"MEPE",6.74768492334828
"MROH2B",6.74768492334828
"NLRP13",6.74768492334828
"OR1A2",6.74768492334828
"OR2T34",6.74768492334828
"OR2T4",6.74768492334828
"PAGE3",6.74768492334828
"PDE11A-AS1",6.74768492334828
"PRAME",6.74768492334828
"PRAMEF27",6.74768492334828
"PRAMEF9",6.74768492334828
"RPL18AP11",6.74768492334828
"RXFP3",6.74768492334828
"SPDYE13",6.74768492334828
"SPEM2",6.74768492334828
"TMEM179",6.74768492334828
"INHBA",6.74593482023346
"PPP1R11",6.74270897019451
"CDC42EP1",6.70940977587088
"SOX1",6.69867340109971
"LOC389199",6.69238044552485
"ADCY8",6.68157733883652
"NTF4",6.6654946715677
"FGA",6.66367605761361
"OPTC",6.66004081050701
"CCDC85B",6.6525758917566
"TPRX1",6.64953040168546
"TUBA3C",6.64895026771662
"C3orf80",6.63640980910954
"MADCAM1",6.62650473953223
"ANO4",6.62332345189538
"CCDC188",6.62332345189538
"CIMIP4",6.62332345189538
"EPYC",6.62332345189538
"EWSR1P1",6.62332345189538
"LOC105379418",6.62332345189538
"LOC124907097",6.62332345189538
"MALT1-AS1",6.62332345189538
"OR5M10",6.62332345189538
"OR6K2",6.62332345189538
"OR7E85P",6.62332345189538
"PANK3P1",6.62332345189538
"SLC35G6",6.62332345189538
"CDSN",6.61854275063947
"KIR2DL1",6.61592767970756
"LYPD8",6.61147301884635
"B3GALT6",6.61062691823388
"MAPT",6.60876371252825
"C20orf204",6.60869635655466
"DKKL1",6.60869635655466
"TRIM42",6.60869635655466
"OR52E5",6.60576956812174
"KIRREL2",6.59310404499569
"AMELY",6.59310092967289
"UGT2B4",6.59310092967289
"HLA-C",6.59064570654579
"DKFZP434A062",6.58364751739733
"PLA2G1B",6.58237306066285
"OR13C9",6.5759133811834
"COL20A1",6.56810863946071
"C16orf74",6.56018991470023
"RNPC3-DT",6.55449550366022
"PRICKLE4",6.55162268386749
"SLFNL1-AS1",6.54628322559179
"DGKK",6.54103112418628
"INSM2",6.53645614091109
"APOL5",6.53013864640322
"GSTA5",6.50930823601845
"VPS13A-AS1",6.49681679182565
"MMP10",6.49210771927994
"IFITM10",6.47728559540472
"GABBR1",6.45476416348316
"MMP24OS",6.45394003801234
"SPATC1",6.45161078937599
"OR4K3",6.44641531838539
"RBPMS-AS1",6.44309610777913
"PSORS1C1",6.43777658917565
"STXBP5L",6.43469385882592
"C8G",6.41164333312072
"LINC02348",6.40627371566421
"GPC2",6.40387423141233
"AADACL4",6.40118677218751
"PRICKLE2-AS1",6.40118677218751
"RPSAP45",6.40117753722963
"LOC101929775",6.40103395086151
"PSMB9",6.38731862787923
"WIPF1-AS1",6.38440403121774
"SLC6A7",6.3843994816685
"ASCL2",6.36894776494785
"LCE1A",6.36894776494785
"NPBWR1",6.36894346377519
"WDR86",6.3685495107913
"ABCE1P1",6.36580392345674
"CDRT15P3",6.36580392345674
"GKN2",6.36580392345674
"HEXIM2-AS2",6.36580392345674
"INSL4",6.36580392345674
"LOC285453",6.36580392345674
"MIR3665",6.36580392345674
"OR2M7",6.36580392345674
"OR5M3",6.36580392345674
"PRL",6.36580392345674
"RPL22P2",6.36580392345674
"RPS3AP10",6.36580392345674
"SMCP",6.36580392345674
"TCP11X1",6.36580392345674
"TMEM196",6.36580392345674
"TMEM202",6.36580392345674
"TUBGCP5",6.36580392345674
"CAVIN3",6.3592333964031
"GAL",6.35502990456811
"FOSL1",6.35389888263881
"ZIC4",6.35291155937244
"TNK1",6.35214374401335
"AOC4P",6.34361218887343
"F9",6.34361218887343
"MIR6753",6.34361218887343
"OR5AL1",6.34361218887343
"PLA2G10IP",6.34361218887343
"SDS",6.33659760007554
"PSD2",6.33146988062308
"HGFAC",6.32942662786714
"CAMK2N2",6.32905858292135
"ZP2",6.32905858292135
"UGT2A1",6.32867699671367
"ADAMTS7P1",6.328313940875
"FGF4",6.328313940875
"HDGFL1",6.328313940875
"INTS6P1",6.328313940875
"KCNK4",6.328313940875
"LINC02411",6.328313940875
"LOC100533997",6.328313940875
"LOC400026",6.328313940875
"LRCOL1",6.328313940875
"MIR6752",6.328313940875
"MIR6823",6.328313940875
"MRM1",6.328313940875
"OR14I1",6.328313940875
"OR2Y1",6.328313940875
"OR4X2",6.328313940875
"OR5AC2",6.328313940875
"PRDM14",6.328313940875
"PROP1",6.328313940875
"RAD23BP1",6.328313940875
"SOST",6.328313940875
"SPEGNB",6.328313940875
"SULT2A1",6.328313940875
"TRPC6P9",6.328313940875
"WFDC9",6.328313940875
"XRCC6P3",6.328313940875
"YDJC",6.32752941835394
"ADAMTS7P4",6.32713390508338
"MOBP",6.32713390508338
"PINX1",6.32713390508338
"PAX7",6.32550174277198
"ABCC12",6.32387431518787
"CEP72",6.31034380925691
"DERL3",6.30280588465766
"PHF21B",6.28391799980904
"NPAS4",6.28142486686724
"HES6",6.27897833680538
"OR2AK2",6.27776084021466
"RFPL2",6.27499929448285
"CCL18",6.26591324860483
"PDCD1",6.25229013581951
"EIF4A1P6",6.25176204874499
"NLRP5",6.25176204874499
"TUBA4B",6.24321858800679
"APTR",6.24004169566616
"LIX1",6.23982700938742
"ABHD16A",6.23216902800763
"GRIN3B",6.23103494975057
"SOHLH2",6.22825741959407
"LILRB4",6.22122699284791
"PIANP",6.21779324417761
"OR5C1",6.19620974392975
"OR10H5",6.19068815435092
"CFAP74",6.1872592961879
"ATF5",6.17645350161173
"BRICD5",6.1731554742347
"ANKRD2",6.17260185151114
"CA9",6.1654784592064
"ANKRD60",6.16519491898634
"CFAP299",6.16303103727356
"ERLN",6.16297240221709
"LRRC24",6.16199962128061
"BPIFB1",6.15591820070205
"LBX2-AS1",6.13960233118628
"LOC105373978",6.13755967071054
"ANTXRL",6.12859273534857
"PNMA5",6.12685713132174
"PTX4",6.12685713132174
"ADRA1D",6.12631132170366
"AMZ1",6.1259146553675
"RBMXL2",6.11937519780386
"C2orf72",6.11889460705566
"LMTK3",6.11885207049646
"TMEM190",6.11164208515822
"DHX16",6.11057134081529
"PRRC2A",6.105332405457
"MRPS12",6.10518995604237
"RPS2P17",6.10368714482369
"IGSF3P1",6.10361547314833
"PAGE4",6.10361547314833
"HLA-G",6.10204010586012
"C22orf23",6.09383361126131
"SKIC2",6.08148415603705
"CPAMD8P1",6.07073033266909
"GASK1B-AS1",6.06332944532279
"AIRE",6.06279997775948
"GAREM2",6.05781505448114
"C11orf91",6.05666690191398
"KRT84",6.05436186748868
"OR13C5",6.053146676925
"TRIM67-AS1",6.053146676925
"BTNL2",6.0518020192992
"CRYGN",6.0518020192992
"FAM90A23",6.0518020192992
"FAM90A9",6.0518020192992
"FKBP4P7",6.0518020192992
"GHRH",6.0518020192992
"HMX2",6.0518020192992
"LOC124906716",6.0518020192992
"LOC124906717",6.0518020192992
"LOC128966609",6.0518020192992
"MIR492",6.0518020192992
"MIR6754",6.0518020192992
"OR1F12P",6.0518020192992
"OR4C16",6.0518020192992
"OR7E86P",6.0518020192992
"PAX2",6.0518020192992
"PLA2G2F",6.0518020192992
"POM121L2",6.0518020192992
"SSX13P",6.0518020192992
"SULT6B1",6.0518020192992
"TFAP2D",6.0518020192992
"XKR6",6.0518020192992
"XKR7",6.0518020192992
"ZSWIM5P1",6.0518020192992
"CBARP",6.04936912961586
"LOC101929004",6.04081213879595
"ARHGAP23",6.03503068346829
"CALY",6.01985778866259
"SYT5",6.0128062743986
"AANAT",6.01231171177501
"CFAP184",6.00782584862049
"COL5A3",6.00540584866436
"OR8A1",6.00365096305312
"CITED4",5.99983993223531
"FAM187A",5.99446759285061
"FAM236A",5.99226066357118
"KIF2B",5.99226066357118
"OR10H1",5.99226066357118
"CDH16",5.99179564876847
"LILRB2",5.98959400384092
"ELAVL3",5.98263513654937
"KCNG2",5.97791738815069
"MIP",5.96155986508131
"BBC3",5.96091734842414
"SLC35E4",5.95993549116383
"SPANXA2-OT1",5.95965993289404
"HES4",5.95948108298547
"TGM4",5.95786618476169
"TUBA3E",5.95786618476169
"DSCAM",5.95769803903647
"METRN",5.9378135026924
"SPANXA2",5.9368371560559
"PRR7",5.93089219596365
"GPSM3",5.93004733923495
"RASAL2-AS1",5.92323619261989
"TRIM39",5.91884163637849
"TAPBP",5.91838833241341
"OR52B2",5.91703461197765
"MIR762HG",5.91282189909663
"PTPRN",5.91282189909663
"PAQR6",5.9099492901391
"SPANXC",5.90610330156746
"COL11A1",5.90595096858853
"SCX",5.8985438531593
"NR0B2",5.89811195912828
"AMER2",5.89640693441579
"PIN1P1",5.89579983510235
"SH2D6",5.89579983510235
"DOT1L-AS1",5.89567018469707
"LINC01998",5.89567018469707
"NACA2",5.89567018469707
"CYP2W1",5.86743505442181
"SRRM4",5.86652012177928
"GJD2",5.85972848575533
"INSRR",5.85813248453986
"NICOL1",5.85581343061026
"MUC6",5.85127245161932
"TRH",5.84450061088123
"DNTT",5.84113878180241
"PRAMEF31P",5.84113878180241
"PRSS38",5.8298754140045
"CIMIP2A",5.82925334039766
"NDUFC2-KCTD14",5.82651385806049
"FAM181B",5.82549369159806
"HHLA1",5.82372487585489
"PRSS53",5.82244631366013
"GNRH2",5.80806128666337
"FSHR",5.79981760769208
"DEXI",5.7995032273017
"PHLDA2",5.79477844864086
"CPA2",5.79370368601909
"RPL19P5",5.79370368601909
"MYL10",5.79364047842096
"RPL18AP6",5.79364047842096
"SPMIP7",5.79364047842096
"RFX4",5.78924558962921
"BCAR1",5.78874618841873
"RIMS4",5.78149611049814
"MYBPH",5.78054713118717
"CNTN5",5.77865851838178
"IL21R-AS1",5.77865851838178
"NANOS2",5.77860066955503
"SERPINA9",5.77860066955503
"TRIM67",5.77860066955503
"SLC38A8",5.77859100184606
"GREM1",5.77800273297166
"NLRP7",5.77798820702348
"HNRNPCL1",5.77366748690964
"RASL10A",5.76940550954962
"WT1",5.76886037244393
"GUCY2F",5.76231712700441
"MEGF11",5.75099850395859
"HOXC8",5.75020087672656
"ALPG",5.74968870051587
"C6orf15",5.74968870051587
"CACNA1C-AS1",5.74968870051587
"CACNA1C-AS2",5.74968870051587
"CD300H",5.74968870051587
"DPP3P2",5.74968870051587
"FAM163A",5.74968870051587
"HTN3",5.74968870051587
"ITFG2-AS1",5.74968870051587
"LOC105373604",5.74968870051587
"MAPK8IP1P1",5.74968870051587
"NEUROG1",5.74968870051587
"PAQR5-DT",5.74968870051587
"RPS2P55",5.74968870051587
"USP17L2",5.74968870051587
"PDF",5.74357434867745
"SLC1A7",5.74212651197474
"C1QL4",5.73984583769079
"NMUR1",5.73874940081957
"ANKRD30BP1",5.73499831951684
"BHLHA9",5.73499831951684
"C6orf118",5.73499831951684
"CSN1S1",5.73499831951684
"CTAGE1",5.73499831951684
"CTAGE15",5.73499831951684
"FGF3",5.73499831951684
"FRMD8P1",5.73499831951684
"G6PC2",5.73499831951684
"GARRE1",5.73499831951684
"GFRAL",5.73499831951684
"GMNC",5.73499831951684
"HAPLN2",5.73499831951684
"IZUMO2",5.73499831951684
"KRT18P36",5.73499831951684
"LOC100419739",5.73499831951684
"MAGEA12",5.73499831951684
"MICB",5.73499831951684
"MIR4726",5.73499831951684
"MIR638",5.73499831951684
"MIR6814",5.73499831951684
"OR4C45",5.73499831951684
"OR51V1",5.73499831951684
"OR52N2",5.73499831951684
"OR5H3P",5.73499831951684
"OR7C2",5.73499831951684
"PRAMEF2",5.73499831951684
"PRAMEF4",5.73499831951684
"PRSS47P",5.73499831951684
"PRSS57",5.73499831951684
"RPL13AP3",5.73499831951684
"RTP2",5.73499831951684
"SLC30A10",5.73499831951684
"TBX22",5.73499831951684
"TCF23",5.73499831951684
"TRPC6P1",5.73499831951684
"UNCX",5.73499831951684
"URAD",5.73499831951684
"VN1R4",5.73499831951684
"CIMAP1D",5.73377307074169
"DUX4L13",5.73377307074169
"LOC105369576",5.73377307074169
"LOC105373411",5.73377307074169
"MIR6832",5.73377307074169
"SPATA31A1",5.73263576970588
"SPOCD1",5.72855985082934
"DRC1",5.71470465667729
"CTRC",5.7107860094211
"CHGB",5.70872516205778
"ADORA1",5.70526278802518
"OR2V2",5.70505006355505
"SCN10A",5.70370638461125
"MAMSTR",5.69882700464731
"NUDT10",5.68341751474483
"BICRA",5.6832651049625
"G0S2",5.67840003990522
"AQP5-AS1",5.67775085581198
"GARIN3",5.67775085581198
"RPL27P11",5.67772669619224
"C2CD4A",5.67761886385395
"SH2D2A",5.67737750455957
"PDLIM7",5.67665206926848
"POLR2A",5.67459973756728
"RNA5SP141",5.65619005929416
"PLPPR2",5.65173206383689
"FAM90A11",5.64920279808944
"FAM90A3",5.64920279808944
"FCRL4",5.64920279808944
"FFAR1",5.64920279808944
"KIR2DL4",5.64920279808944
"KIR2DS4",5.64920279808944
"LCE1D",5.64920279808944
"LOC124906723",5.64920279808944
"LOC400748",5.64920279808944
"LOC402279",5.64920279808944
"LST1",5.64920279808944
"MIR1184-1",5.64920279808944
"MIR1184-2",5.64920279808944
"MIR1184-3",5.64920279808944
"MIR6736",5.64920279808944
"OR4A42P",5.64920279808944
"OR6P1",5.64920279808944
"PPP1R35-AS1",5.64920279808944
"SEL1L2",5.64920279808944
"TEX13A",5.64920279808944
"ZSWIM9",5.64749839962781
"IER3",5.64681486190295
"SPATA2L",5.64165035481174
"ZBTB9",5.64012146168049
"CRYAA",5.63801125557216
"LOC102724652",5.63801125557216
"LOC124901039",5.63383744571058
"SPATC1L",5.6271494961032
"TPSG1",5.62556716015622
"TNFRSF6B",5.62198129034402
"RASSF1-AS1",5.62048712186866
"TCP11X2",5.61985618049293
"UBALD1",5.61256006067143
"IGF2",5.61210989552309
"CCNP",5.61079747398099
"ASIC2",5.60743078315081
"ESPNL",5.60743078315081
"NPFF",5.60193309682934
