"ENTREZID","log2FC"
"55719",24.6136872704623
"9898",24.2722275926572
"203328",23.8860521191575
"84296",18.8064814677261
"339257",13.1414484341995
"80173",12.3260774211584
"79780",12.1998306154704
"100420110",11.7563569099156
"140612",11.0126283887667
"7447",10.5663098055446
"124904616",10.4492071197689
"94025",10.4436044172705
"80231",10.3354599036809
"101060684",10.3005450723375
"382",10.3005444058136
"693209",10.1847471853176
"170954",10.1822753555062
"8446",10.0852150642983
"92714",10.08424438002
"7455",10.0439424277109
"2042",9.93518041097453
"5910",9.93412194180381
"100132406",9.84758951243938
"6602",9.83297149887885
"580",9.57307961360094
"7403",9.51734620450096
"51171",9.49958993999243
"106479041",9.45898596742112
"394263",9.41431357804892
"100506474",9.37225909441571
"9903",9.35927425475376
"57633",9.34330599505425
"5214",9.31320732490539
"148418",9.28179591652192
"390168",9.28179585996951
"390637",9.22252742431904
"200958",9.21976434261182
"5440",9.20943342172821
"63897",9.19199594666441
"440584",9.15939077748344
"158135",9.15029875043071
"53947",9.14931525933942
"6904",9.08821179882959
"286451",9.07003735132658
"643699",9.04265713964629
"219771",8.9618773350068
"23547",8.95662242045512
"8460",8.93787146141629
"400566",8.90287609758014
"2815",8.87439649329726
"23608",8.87439615660968
"129099",8.87096920862015
"7428",8.80694249297854
"654466",8.78413346275956
"401137",8.77346007789409
"124904699",8.76922021957786
"447",8.7437960384664
"57819",8.72163562070379
"101927134",8.69230328036432
"79023",8.6869744136372
"9545",8.68101710007368
"9843",8.66381208306555
"3131",8.66248540983173
"138151",8.64145874774037
"22950",8.62936513241127
"6176",8.60390050952829
"8106",8.57496802406634
"10577",8.57022590173854
"100422901",8.5640347725826
"221786",8.56117673039985
"286749",8.561174189284
"9488",8.56074366588661
"127138865",8.54165792531774
"6342",8.47787248097486
"124902904",8.47445989505688
"84498",8.46354472397257
"51016",8.45684808638222
"79807",8.42875817999547
"100271479",8.42133594500824
"84171",8.39661476920996
"56128",8.37987896827653
"5297",8.35796625290547
"26235",8.35729761500423
"284339",8.34769234674239
"260436",8.3437048966614
"9497",8.34370423500388
"205",8.34370413160435
"163223",8.34370357933583
"5092",8.32050338944666
"818",8.31831112364596
"401865",8.28480122079278
"79971",8.28423445488371
"106481639",8.23139516177948
"364",8.23139429514167
"6102",8.22945513896968
"5143",8.22384788421772
"10471",8.21519025991506
"56925",8.2151896051927
"90826",8.21518783688171
"105374254",8.21358141291806
"105371416",8.19001025891558
"26100",8.16883746646956
"401152",8.16835643482635
"80255",8.16835633397563
"1588",8.15126736335776
"2235",8.12547391079623
"84820",8.11873881730099
"104",8.10631620752094
"124904613",8.08544628086632
"51651",8.07950133472346
"144809",8.077727046816
"100271133",8.07729225921478
"56848",8.07729217065766
"57120",8.07729195240382
"63915",8.07729175692665
"4085",8.07729159568849
"3554",8.07729003336775
"2936",8.07434590442883
"23619",8.02110688064659
"55280",8.0130374034934
"100379224",8.00531708282661
"29960",8.00324013700277
"6128",7.99131482067382
"65979",7.96806232895528
"79694",7.9435452195225
"115098",7.9409690533633
"56138",7.93623633571495
"114821",7.92859261206784
"148932",7.92859157225036
"6731",7.92483241992109
"84449",7.92483142687429
"113402",7.92483090406215
"283578",7.91796472625717
"106479315",7.9079223104958
"105372151",7.90785927233788
"114991",7.87868041140123
"677",7.84925828359102
"284099",7.81376478718924
"163071",7.78908116472121
"10419",7.78049563719292
"728752",7.77487424745344
"146691",7.77047137260964
"5514",7.77047012013948
"5077",7.77047006266297
"56946",7.76739838783351
"84311",7.76016585610326
"445329",7.75634182504061
"653619",7.754377215939
"7673",7.7543759035689
"9783",7.7543758848723
"388695",7.75437580374683
"7504",7.75437382879958
"5588",7.75298203404636
"339287",7.74965573629223
"401082",7.73760854562234
"389247",7.73200451830067
"1803",7.72722380547919
"353163",7.72364774334516
"100128985",7.72349174419409
"730109",7.71459528361066
"114041",7.69923790067536
"9856",7.69923579878688
"116113",7.68876732609746
"283440",7.67430881417305
"4050",7.67264272125435
"127064",7.66996151913373
"387723",7.66236166350635
"100128963",7.64346387328931
"157506",7.60879070370465
"27230",7.60879055580713
"8682",7.6087899714621
"80032",7.59499096555079
"2241",7.58706733947213
"103908605",7.57682043314608
"56261",7.57681874121766
"54843",7.57681861517493
"392196",7.57681834248258
"165721",7.57681756335809
"283970",7.57681720869792
"200879",7.5607747514585
"7485",7.56077459819362
"57570",7.56077329109743
"340554",7.56077325199376
"23184",7.56077313862294
"111082973",7.560773029908
"27336",7.56077262276047
"140775",7.56077242494719
"730094",7.55003949045449
"388523",7.53874794617325
"60343",7.5379024264392
"442160",7.52325596593257
"284349",7.49604565997518
"4336",7.48703887837281
"79722",7.48454277847828
"79901",7.48454236304011
"28517",7.48424307665774
"646567",7.4568635760172
"257160",7.44555743682919
"105371286",7.44159416098598
"90233",7.43659012894372
"401247",7.43292982925885
"100506990",7.42618628756269
"3122",7.42618551834377
"29851",7.42618471000465
"4690",7.42618456080976
"51585",7.41700540684252
"285941",7.40762507029578
"100128553",7.40562230702103
"106481163",7.38725810992193
"51747",7.38290841493413
"331",7.38210531482777
"100216479",7.37576502915953
"796",7.37227105160546
"8570",7.3574833762211
"1520",7.35304356820629
"22932",7.35304145134614
"768211",7.35304131853588
"23627",7.35304116944339
"100127907",7.35304090000221
"49",7.35304065623624
"768206",7.35304060779364
"343495",7.34869676984107
"348801",7.34869636758128
"219402",7.34869627797875
"84570",7.34869529633563
"8320",7.3394997273594
"641371",7.33922217157996
"22998",7.339220582333
"5083",7.3392205697113
"728113",7.33922027133689
"100127893",7.33709536124382
"8936",7.33709382493226
"105374981",7.33709362048868
"100271153",7.33709331563026
"728643",7.33709322302447
"23639",7.33709283156117
"11314",7.33709266742215
"54805",7.33709208893373
"353132",7.3327927262734
"390860",7.33086949931028
"100271465",7.33038261928808
"125875",7.31506141823717
"399888",7.30214726541058
"55839",7.29863410499003
"390999",7.2824714457989
"11100",7.276680499051
"412",7.27117632603742
"124902696",7.26658805556905
"63874",7.25564969614212
"8542",7.24949878473981
"57165",7.24741741706623
"100419436",7.23702703509502
"29920",7.22647646410757
"360158",7.20375689631219
"122965338",7.19868087128606
"347344",7.19867918421217
"164",7.18749858399453
"375567",7.16039667071186
"121268",7.15811131025199
"730291",7.12929670174731
"6451",7.11982081284543
"84639",7.11123693635505
"64784",7.11123639933016
"388242",7.10708308539611
"102725021",7.09646454823303
"28720",7.09407623087568
"79575",7.08808159051435
"3631",7.08808147299938
"29116",7.0880807171936
"100288637",7.08808049483542
"126328",7.08808023920652
"103910",7.08807887145898
"1196",7.07226654105644
"399857",7.07226642790936
"100033418",7.07226637572283
"25992",7.07226611958016
"6147",7.07226607743996
"23081",7.0722658662161
"8507",7.07226582545204
"84417",7.07226580955791
"246184",7.07226576596457
"347088",7.07226571608838
"7871",7.07226542576177
"160728",7.07226524485618
"10723",7.07226429613905
"388698",7.0722640239383
"56034",7.06922716490271
"51588",7.0662149758587
"9587",7.03457981357026
"8634",7.0312107426699
"9578",7.03121071954913
"8648",7.03121062846705
"11108",7.03120974235141
"54470",7.02305785771933
"2889",6.98521370239094
"642574",6.97469546583124
"1460",6.97401831355556
"54102",6.97194509517424
"202243",6.97166759663914
"59353",6.95822945541295
"7148",6.95822749025619
"9637",6.95822564046386
"100302522",6.93855454978877
"100420307",6.93625905591062
"8976",6.91437736986264
"23635",6.8970344000668
"219865",6.88547786871141
"92840",6.87918733377275
"100616114",6.87488994178707
"106479797",6.86315372578165
"9394",6.86164785376628
"155061",6.84186230491765
"9698",6.84167121367836
"51338",6.84167023276656
"5592",6.84166942357132
"3373",6.8416691771962
"107986524",6.84166892773594
"63925",6.84166827059402
"100129722",6.84166780251225
"23676",6.82568446193005
"1122",6.8104086767519
"3117",6.80329932585717
"663",6.80329676897427
"80179",6.8028556327206
"56979",6.79743193645402
"10076",6.7959969869093
"100129640",6.78721343366154
"9358",6.78715606980109
"105375336",6.78715536724418
"9765",6.78715474157356
"2145",6.78176976251211
"9827",6.78118498028199
"51134",6.77737309439295
"54892",6.77379257271155
"100129958",6.77365829226303
"64840",6.76330468368935
"642907",6.7633039716399
"4528",6.76330387841393
"60493",6.76330363682199
"8720",6.76330306865125
"51020",6.76330291075127
"288",6.76330281185351
"26576",6.76330164859707
"105375304",6.7633009604117
"80726",6.75274374253087
"23384",6.75136375283502
"120017342",6.7480528354481
"92106",6.74805255621427
"5587",6.74805216427045
"84689",6.74805176211092
"120526",6.74768749480642
"352954",6.74768734012163
"79714",6.74768630191841
"1438",6.74768594802151
"100129550",6.74768593829145
"283635",6.74768578027129
"497190",6.74768574872814
"1486",6.74768574100772
"124902189",6.74768557454156
"51250",6.74768543348082
"78986",6.74768539948156
"80315",6.74768537958468
"10682",6.7476853347782
"1805",6.74768530151605
"105370645",6.74768525725122
"138716",6.74768519711477
"64844",6.74768511357859
"728833",6.74768509807467
"5528",6.74768506782398
"102723605",6.74768503998556
"6049",6.74768495789934
"55617",6.74768490904086
"11320",6.74768489031212
"1237",6.74768471804902
"1544",6.74768471355511
"10161",6.74768449606899
"284825",6.74768446230994
"4860",6.74768445936103
"51538",6.74768433386724
"10484",6.74768403014071
"22871",6.74768397793945
"51759",6.74768392656754
"7498",6.74768386833123
"8345",6.74768378775981
"3706",6.74768327229938
"5836",6.74768313306704
"100289220",6.74768293059979
"114801",6.74768245745008
"103911",6.74593438458799
"55631",6.74270931629813
"101927573",6.70940912882525
"5232",6.69867124345337
"4739",6.69238132977567
"406896",6.6815765093589
"23157",6.66549409800743
"392138",6.66367756151422
"55847",6.66004003636208
"493754",6.65257673748814
"55343",6.64952914100258
"101928909",6.64894991317422
"221074",6.63640973555352
"29801",6.62650357088081
"6185",6.62332420830182
"345930",6.62332412259135
"84288",6.62332410515306
"8079",6.62332394412395
"81557",6.6233237197304
"7385",6.6233236791873
"10053",6.62332342305383
"89932",6.62332332918672
"6093",6.62332310214114
"644619",6.62332291308622
"100142659",6.62332281714712
"3758",6.62332180134884
"5393",6.61854233696296
"79644",6.6159250365586
"11321",6.61147292590533
"3119",6.61062734851858
"79925",6.60876424792709
"4110",6.60869813605757
"79098",6.60869664297908
"374654",6.60869580127631
"285195",6.6057696944376
"101927289",6.59310531726247
"157855",6.59310047933426
"100144748",6.59310021120667
"56127",6.59064810399827
"51062",6.58364752852652
"57794",6.58237469423127
"54964",6.57591194267676
"100130626",6.5681084489439
"401265",6.56019029312413
"159195",6.55449580369876
"677811",6.55162167823123
"55777",6.54628324485107
"7711",6.54103004676563
"100130301",6.53645685361441
"107985345",6.5301397311783
"7392",6.50930601103075
"10916",6.49681802751911
"29098",6.49210647823544
"106481796",6.47728605017399
"1240",6.4547648233858
"100419891",6.45393983812252
"101929753",6.45161014426203
"79603",6.44641575720409
"55142",6.44641548370641
"101929709",6.44309699108195
"91419",6.43777453683867
"6046",6.43469222244665
"101669766",6.41164476352307
"201283",6.40627476229305
"219681",6.40387466670128
"4137",6.40118768936243
"103",6.40118748736592
"5230",6.40117487630683
"7852",6.40103506113861
"8396",6.38731814289163
"100418877",6.38440426183457
"8403",6.3843991865107
"10521",6.36894863691281
"11155",6.3689474164754
"80127",6.36894398227896
"51703",6.36854912010632
"252884",6.36580589887579
"158434",6.36580564771898
"642987",6.36580563576172
"107985911",6.36580513346725
"23521",6.36580504845948
"122616",6.36580466435675
"6575",6.36580429646139
"79158",6.3658042375144
"60561",6.36580407513724
"196385",6.36580398861067
"728215",6.36580394390745
"55973",6.3658037094155
"7169",6.36580369577267
"54482",6.36580368410517
"353332",6.36580364197462
"645962",6.36580359731285
"100996609",6.36580283066953
"51768",6.36580260050563
"22993",6.3592347246178
"56147",6.35503002588649
"3009",6.35389959548113
"9667",6.35291233823247
"90701",6.35214465878662
